Stabilimento.: 149 - Disegno.: Tutti - Validi al.: 18-06-2018 - Configurazione.: Tutti
"Stabilimento";"Desc.Stabilimento";"Disegno";"Desc.Disegno";"Mdr";"Desc.Mdr";"Qta Mdr";"Ultimo utilizzo";"Inizio validita'";"Fine validita'";"Data caricamento";
"149";"SEVEL Val di Sangro Carrozzeria";"00009949220";"PIASTRINA ELASTICA";"4147";"CASSETTA RL-KLT";"2200";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00043437990";"DADO (SPECIALE)     AUTOFILETTANTE";"6280";"CASSETTA RL-KLT";"10000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00044128340";"MOLLA";"4147";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00044316100";"GRAFFETTA ADESIVA   FISS.CAVI";"6280";"CASSETTA RL-KLT";"2000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00075565330";"RIVETTO";"6280";"CASSETTA RL-KLT";"20000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00075694680";"TASSELLO";"6280";"CASSETTA RL-KLT";"11000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076226060";"BLOCCH.P.VITE AUTOF.AUTOF.DIAM.4,2";"6280";"CASSETTA RL-KLT";"20000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076407470";"MOLLETTA RITEGNO";"4280";"CASSETTA RL-KLT";"1500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076429540";"MOLLETTA RITEGNO";"6280";"CASSETTA RL-KLT";"4000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076454130";"VITE(SPECIALE)      A TRANCIARE";"3147";"CASSETTA RL-KLT";"600";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076605620";"MOLLETTA RITEGNO";"6280";"CASSETTA RL-KLT";"1300";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076635570";"BOTTONE";"6280";"CASSETTA RL-KLT";"5000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00076639160";"BLOCCH.P.VITE AUTOF.";"4280";"CASSETTA RL-KLT";"4500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00077149290";"MOLLETTA RITEGNO";"6280";"CASSETTA RL-KLT";"3000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00077660720";"MOLLETTA RITEGNO    CAVO";"4280";"CASSETTA RL-KLT";"4000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00077701560";"MOLLETTA RITEGNO";"4147";"CASSETTA RL-KLT";"5000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00077720890";"MOLLETTA RITEGNO";"6280";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00077999510";"BOTTONE DI FISSAGGIO5 X 30";"6280";"CASSETTA RL-KLT";"6000";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00104928700";"COLLARE ELASTICO PERMANIC. D.70,0";"6280";"CASSETTA RL-KLT";"700";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00104938700";"COLLARE ELASTICO PER MANIC. D.85,5";"6280";"CASSETTA RL-KLT";"500";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00105196010";"ROSETTA 8 X 17";"3147";"CASSETTA RL-KLT";"3850";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00105523210";"ROSETTA TRANCIATA   PIANA 14X32X2,5";"3147";"CASSETTA RL-KLT";"800";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
"149";"SEVEL Val di Sangro Carrozzeria";"00105574210";"VITE FISS COMANDO CAMBIO SU TRAVERSA";"3147";"CASSETTA RL-KLT";"150";"14-NOV-17";"14-NOV-17";"31/12/3999";"14-NOV-17";
